[1012/134722:INFO:CONSOLE(2032)] ">>> UIProfile changed", source: ac://theme/default/js/ui.js (2032)
[1012/134723:INFO:CONSOLE(73)] "loadModule PbManager", source: ac://js/__AC.js (73)
[1012/134723:INFO:CONSOLE(43)] ">>> UIPbManager init", source:  (43)
[1012/134723:INFO:CONSOLE(73)] "loadModule Randomizer", source: ac://js/__AC.js (73)
[1012/134723:INFO:CONSOLE(10)] ">>> UIRandomizer init", source:  (10)
[1012/134723:INFO:CONSOLE(73)] "loadModule VideoHandler", source: ac://js/__AC.js (73)
[1012/134723:INFO:CONSOLE(19)] ">>> UIModule init", source:  (19)
[1012/134723:INFO:CONSOLE(114)] "Module UIVideoHandler returned ID:VideoHandler", source: ac://js/__AC.js (114)
[1012/134723:INFO:CONSOLE(73)] "loadModule Career2", source: ac://js/__AC.js (73)
[1012/134723:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/134723:INFO:CONSOLE(154)] "UICareer2.loadData", source:  (154)
[1012/134723:INFO:CONSOLE(140)] ">>> UICareer2 init #wrapper", source:  (140)
[1012/134723:INFO:CONSOLE(114)] "Module UICareer2 returned ID:UICareer2", source: ac://js/__AC.js (114)
[1012/134723:INFO:CONSOLE(73)] "loadModule Champs", source: ac://js/__AC.js (73)
[1012/134723:INFO:CONSOLE(47)] "Career reloading language:", source:  (47)
[1012/134723:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/134723:INFO:CONSOLE(1585)] "Playerdata CHAMPS undefined", source:  (1585)
[1012/134723:INFO:CONSOLE(1294)] "Champs AI Level: 98", source:  (1294)
[1012/134723:INFO:CONSOLE(1308)] "Champs AI variation: 0", source:  (1308)
[1012/134723:INFO:CONSOLE(1301)] "Champs AI Aggression: 0", source:  (1301)
[1012/134723:INFO:CONSOLE(51)] ">>> UIChamps init", source:  (51)
[1012/134723:INFO:CONSOLE(73)] "loadModule Online", source: ac://js/__AC.js (73)
[1012/134723:INFO:CONSOLE(47)] "Career reloading language:", source:  (47)
[1012/134723:INFO:CONSOLE(3115)] "Widgets refreshed ", source: ac://theme/default/js/ui.js (3115)
[1012/134723:INFO:CONSOLE(56)] ">>> UIOnline init", source:  (56)
[1012/134723:INFO:CONSOLE(73)] "loadModule Replay", source: ac://js/__AC.js (73)
[1012/134723:INFO:CONSOLE(47)] "Career reloading language:", source:  (47)
[1012/134723:INFO:CONSOLE(21)] ">>> UIReplay init", source:  (21)
[1012/134723:INFO:CONSOLE(73)] "loadModule Results", source: ac://js/__AC.js (73)
[1012/134723:INFO:CONSOLE(47)] "Career reloading language:", source:  (47)
[1012/134723:INFO:CONSOLE(628)] "UIResults refreshing", source:  (628)
[1012/134723:INFO:CONSOLE(631)] ">>> UIResults no data", source:  (631)
[1012/134723:INFO:CONSOLE(687)] ">>> UIResults, invalid: true populateresult:false", source:  (687)
[1012/134723:INFO:CONSOLE(693)] "Invalid results", source:  (693)
[1012/134723:INFO:CONSOLE(28)] ">>> UIResults init", source:  (28)
[1012/134723:INFO:CONSOLE(73)] "loadModule SpecialEvents", source: ac://js/__AC.js (73)
[1012/134723:INFO:CONSOLE(47)] "Career reloading language:", source:  (47)
[1012/134733:INFO:CONSOLE(28)] "ERROR > syncing steam achievements", source:  (28)
[1012/134733:INFO:CONSOLE(71)] ">>> UISpecialEvents init", source:  (71)
[1012/134733:INFO:CONSOLE(73)] "loadModule ModuleManager", source: ac://js/__AC.js (73)
[1012/134733:INFO:CONSOLE(47)] "Career reloading language:", source:  (47)
[1012/134733:INFO:CONSOLE(48)] "Special Events reloading language:", source:  (48)
[1012/134733:INFO:CONSOLE(26)] ">>> UIModuleManager init", source:  (26)
[1012/134733:INFO:CONSOLE(73)] "loadModule Help", source: ac://js/__AC.js (73)
[1012/134733:INFO:CONSOLE(47)] "Career reloading language:", source:  (47)
[1012/134733:INFO:CONSOLE(48)] "Special Events reloading language:", source:  (48)
[1012/134733:INFO:CONSOLE(26)] ">>> UIHelp init", source:  (26)
[1012/134733:INFO:CONSOLE(27)] ">>> UIHelp path: modules/help", source:  (27)
[1012/134733:INFO:CONSOLE(393)] "Loading modules complete", source: ac://theme/default/js/ui.js (393)
[1012/134733:INFO:CONSOLE(47)] "Career reloading language:", source:  (47)
[1012/134733:INFO:CONSOLE(48)] "Special Events reloading language:", source:  (48)
[1012/134734:INFO:CONSOLE(61)] "Setting up localization UI", source: ac://theme/default/js/ac.localization.js (61)
[1012/134734:INFO:CONSOLE(440)] ">>> Summary redraw: car", source: ac://theme/default/js/ui.js (440)
[1012/134734:INFO:CONSOLE(3851)] ">>> load opponents", source: ac://theme/default/js/ui.js (3851)
[1012/134734:INFO:CONSOLE(129)] ">>> UIPbManager - UI ready", source:  (129)
[1012/134734:INFO:CONSOLE(5253)] ">>> UI init", source: ac://theme/default/js/ui.js (5253)
[1012/134734:INFO:CONSOLE(2235)] "window blurred", source: ac://theme/default/js/ui.js (2235)
[1012/134734:INFO:CONSOLE(47)] "Career reloading language:", source:  (47)
[1012/134734:INFO:CONSOLE(48)] "Special Events reloading language:", source:  (48)
[1012/134734:INFO:CONSOLE(161)] "Career data loaded", source:  (161)
[1012/134734:INFO:CONSOLE(67)] "Career: new career started", source:  (67)
[1012/134734:INFO:CONSOLE(457)] "UICareer2.populate", source:  (457)
[1012/134734:INFO:CONSOLE(3463)] "Set default videomode to 1920,1080", source: ac://theme/default/js/ui.js (3463)
[1012/134734:INFO:CONSOLE(3482)] "Video resolution 1920,1080 (18)", source: ac://theme/default/js/ui.js (3482)
[1012/134734:INFO:CONSOLE(50)] ">>> UIStats upgrading db", source:  (50)
[1012/134734:INFO:CONSOLE(358)] ">>> Stats init db", source: ac://js/__ACClasses.js (358)
[1012/134734:INFO:CONSOLE(190)] ">>> UIPbManager", source:  (190)
